Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2022-12-06,2022-12-07,1,1052 SAJE ABC TOWN,Merchandise,,160.46
2022-12-03,2022-12-04,4,AMZN Mktp CA*686XT41B3,Internet,87,
2022-12-01,2022-12-02,4,LINODE.COM,Internet,6.66,
2022-12-01,2022-12-02,3,AMZN Mktp CA*BK0Q924V3,Internet,11.99,
2022-12-01,2022-12-01,2,DELL CANADA INC,Merchandise,213.56,
2022-11-29,2022-11-30,4,MARSHALLS 769,Merchandise,,10.16
2022-11-29,2022-11-30,2,MARSHALLS 769,Merchandise,,16.94
2022-11-29,2022-11-30,3,MARSHALLS 769,Merchandise,,56.49
2022-11-27,2022-11-28,1,COSTCO GAS W1169,Gas/Automotive,55.36,
2022-11-26,2022-11-27,3,UNITED WAY OF GREATER,Other Services,50,
2022-11-26,2022-11-27,4,KFC - ABC TOWN,Dining,37.28,
2022-11-24,2022-11-27,2,SHOPPERS DRUG MART0744,Health Care,271.54,
2022-11-25,2022-11-27,1,AA SUPERMARKET,Merchandise,38.53,
2022-11-25,2022-11-27,4,CARD N' PARTY,Other Travel,8.57,
2022-11-23,2022-11-24,3,METRO #214,Merchandise,34.17,
2022-11-23,2022-11-24,1,METRO #214,Merchandise,10.04,
2022-11-20,2022-11-24,1,#850 PARTY CITY,Merchandise,2.26,
2022-11-23,2022-11-24,1,INSCEPTIONCELLSFORLIFE,Other Travel,163.21,
2022-11-23,2022-11-24,3,GUMROAD.CO* DANIEL VAS,Merchandise,60.47,
2022-11-21,2022-11-23,2,1052 SAJE ABC TOWN,Merchandise,160.46,
2022-11-19,2022-11-21,3,#850 PARTY CITY,Merchandise,99.9,
2022-11-20,2022-11-21,3,KINGS BAKERY (RETA,Merchandise,27.3,
2022-11-20,2022-11-20,3,INTEREST CHARGES,Fee/Interest Charge,61.78,
2022-11-17,2022-11-20,1,PETROCAN,Gas/Automotive,30,
2022-11-19,2022-11-20,1,AA SUPERMARKET,Merchandise,117.18,
2022-11-19,2022-11-20,3,AA SUPERMARKET,Merchandise,,25.07
2022-11-18,2022-11-19,2,CPC SCP/D220106283,Other Travel,16.27,
2022-11-17,2022-11-18,2,AA SUPERMARKET,Merchandise,41.46,
2022-11-17,2022-11-18,2,DOLLARAMA # 224,Merchandise,4.24,
2022-11-17,2022-11-18,2,PAYPAL *PYTHONANYWH,Internet,1.38,
2022-11-17,2022-11-18,1,FIDO Mobile ,Phone/Cable,87.99,
2022-11-17,2022-11-17,2,GRAMMARLY COG4S4DGI,Merchandise,80.74,
2022-11-17,2022-11-17,1,ULINE,Merchandise,86.76,
2022-11-16,2022-11-17,2,IKEA BURLINGTON,Merchandise,278.74,
2022-11-13,2022-11-14,4,COSTCO WHOLESALE,Merchandise,22.59,
2022-11-13,2022-11-14,2,COSTCO WHOLESALE,Merchandise,573.15,
2022-11-12,2022-11-13,4,PAYMENT,Payment/Credit,,2728.99
2022-11-11,2022-11-12,4,AA SUPERMARKET,Merchandise,93.4,
2022-11-11,2022-11-12,4,METRO #214,Merchandise,22.62,
2022-11-10,2022-11-11,1,AMZN Mktp CA*2827W3Y61,Internet,29.86,
2022-11-11,2022-11-11,1,AMZN Mktp CA*205944C01,Internet,24.73,
2022-11-09,2022-11-11,4,CONGEE QUEEN,Dining,62.6,
2022-11-10,2022-11-11,3,AMZN Mktp CA*280LU2WQ1,Internet,17.32,
2022-11-08,2022-11-09,3,EBAY.CA/CC,Other Services,1.15,
2022-11-08,2022-11-09,1,METRO #214,Merchandise,38.59,
2022-11-08,2022-11-09,1,"TOYS ""R"" US #3518",Merchandise,67.77,
2022-11-06,2022-11-09,1,THE HOME DEPOT #7157,Merchandise,17.83,
2022-11-06,2022-11-09,2, MEDICAL PHARMAC,Health Care,7.94,
2022-11-07,2022-11-09,2,COSTCO GAS ,Gas/Automotive,42.65,
